Model Year,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,Carline Class,Carline Class Desc,,,,,,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,,,,,,,,,,,,,,,,,,,,,,,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date,EPA FE Label Dataset ID,,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Energy Storage Device Desc,Energy Storage DeviceIf Other,# Batteries,Battery Type Desc,Battery Type If Other,Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type Desc,Regen Braking Type If Other,Regen Braking Wheels Source (Front Rear Both),Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity (kg),Fuel Cell Onboard H2 Capacity (kg),HEV-EV Comments,# Drive Motor Gen,Motor Gen Type Desc,Motor Gen Type If Other,Rated Motor Gen Power (kW),Fuel Metering Type 1 Desc,Fuel Metering Type 2 Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,Model Type Desc (MFR entered),Charge Depleting Calc Appr Code (PHEV only),Charge Depleting Calc Appr Desc (PHEV only),Charge Sustaining Calc Appr Code (PHEV only),Charge Sustaining Calc Appr Desc (PHEV only),EPA Calculated Annual Fuel Cost,EPA Calculated Gas Guzzler MPG,MFR Calculated Gas Guzzler MPG ,EPA Calculated Gas Guzzler Indicator (Y or N),,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Smog Rating Test Group,#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),#1 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 1),SmartWay1 (EPA-derived SmartWay rating for Test Group 1),#2 Smog Rating Test Group,#2 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 2),#2 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 2),SmartWay2 (EPA-derived SmartWay rating for Test Group 2),#3 Smog Rating Test Group,#3 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 3),#3 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 3),SmartWay3 (EPA-derived SmartWay rating for Test Group 3),#4 Smog Rating Test Group,#4 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 4),#4 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 4),SmartWay4 (EPA-derived SmartWay rating for Test Group 4),$ You Save over 5 years (amount saved in fuel costs over 5 years - on label) ,$ You Spend over 5 years (increased amount spent in fuel costs over 5 years - on label) ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted (as shown on FE Label),CO2-PHEV Composite Rounded Adjusted Combined CO2,240V Charge Time at 240 volts (hours),120V Charge time at 120 Volts (hours),PHEV Total Driving Range (rounded to nearest 10 miles)DISTANCE,City PHEV Composite MPGe,Hwy PHEV Composite MPGe,Comb PHEV Composite MPGe
2021,28.7,30.2,29.3561,2300,1,Two Seaters,,,,,,28.7,30.2,29.3561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,2/1/2021,28601,,N,N,,,N,N,,N,,Y,Variable Timing control (VTC) system is applied.,N,,Battery(s),,1,Lithium Ion,,259,4.25,51,On-Board,,,Electrical Regen Brake,,Both,N,,,,,3,Other,AC PMSM,35 27 27,,,GDPI,Spark Ignition direct & ported injection,N,N,N,0W-40,Y,Yes,,,,,,,,29.5,,,4,4,,MHNXV03.5EBN,3,,,,,,,,,,,,,,,,4000,420,406,420,,,,,,,
2021,17.3588,29.2584,21.2475,2850,1,Two Seaters,,,,,,17.3588,29.2584,21.2475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2850,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,8/10/2020,28309,,N,N,,,N,N,DB11 V8 Base engine spec used on DB11 V8 Coupe DB11 V8 Volante and Vantage V8 amended specification to 0w40 engine oil.,N,,Y,Inlet and Exhaust Cam Phasing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,N,,N,0W40,Y,Yes,Vantage Manual,,,,,,,27,,,3,3,,MASXV04.0AES,3,,,,,,,,,,,,,,,,6750,636,426,541,,,,,,,
2021,22.5379,34.2945,26.6489,2450,1,Two Seaters,,,,,,22.5379,34.2945,26.6489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2450,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,8/10/2020,28080,,N,N,,,N,N,DB11 V8 Base engine spec used on DB11 V8 Coupe DB11 V8 Volante and Vantage V8 amended specification to 0w40 engine oil.,N,,Y,Inlet and Exhaust Cam Phasing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,N,,N,0W40,N,No,Vantage,,,,,,,27,,,4,4,,MASXV04.0AES,3,,,,,,,,,,,,,,,,4750,494,364,435,,,,,,,
2021,15.8765,26.0378,19.2586,3050,1,Two Seaters,,,,,,15.8765,26.0378,19.2586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,3050,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Vehicle Specific 5-cycle label,6/30/2020,27210,,N,N,,,N,N,Engine Code: DKAA,Y,One complete cylinder bank will be deactivated.,Y,Continuously Variable Timing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDPI,Spark Ignition direct & ported injection,N,,N,0W30 VW50400 / VW50700,N,No,,,,,,,,19.4,,,2,2,,MVGAV05.2NBE,1,,,,,,,,,,,,,,,,7750,663,450,567,,,,,,,
2021,15.8768,29.6317,20.069,2850,1,Two Seaters,,,,,,15.8768,29.6317,20.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2850,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Vehicle Specific 5-cycle label,10/15/2020,28418,,N,N,,,N,N,Engine Code: DKAA,Y,One complete cylinder bank will be deactivated.,Y,Continuously Variable Timing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDPI,Spark Ignition direct & ported injection,N,,N,0W30 VW50400 / VW50700,N,No,,,,,,,,20.2,,,3,3,,MVGAV05.2NBE,1,,,,,,,,,,,,,,,,6750,645,386,528,,,,,,,
2021,15.8765,26.0378,19.2586,3050,1,Two Seaters,,,,,,15.8765,26.0378,19.2586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,3050,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Vehicle Specific 5-cycle label,6/30/2020,27211,,N,N,,,N,N,Engine Code: DKAA,Y,One complete cylinder bank will be deactivated.,Y,Continuously Variable Timing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDPI,Spark Ignition direct & ported injection,N,,N,0W30 VW50400 / VW50700,N,No,,,,,,,,19.4,,,2,2,,MVGAV05.2NBE,1,,,,,,,,,,,,,,,,7750,663,450,567,,,,,,,
2021,15.8768,29.6317,20.069,2850,1,Two Seaters,,,,,,15.8768,29.6317,20.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2850,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Vehicle Specific 5-cycle label,10/15/2020,28419,,N,N,,,N,N,Engine Code: DKAA,Y,One complete cylinder bank will be deactivated.,Y,Continuously Variable Timing,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDPI,Spark Ignition direct & ported injection,N,,N,0W30 VW50400 / VW50700,N,No,,,,,,,,20.2,,,3,3,,MVGAV05.2NBE,1,,,,,,,,,,,,,,,,6750,645,386,528,,,,,,,
2021,28.1148,42.1933,33.0821,1550,1,Two Seaters,,,,,,28.1148,42.1933,33.0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Vehicle Specific 5-cycle label,10/9/2020,28333,,Y,N,,,N,N,Engine Code: DHHA,N,,Y,CONTINUOUS VARIABLE VALVE TIMING,Y,Audi Valve System,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,N,,N,0W-20 VW50800,Y,Yes,,,,,,,,33.3,,,5,5,,MVGAJ02.0A3T,7,,,,,,,,,,,,,,,,250,389,290,344,,,,,,,
2021,29.2,42.2,33.8993,1950,1,Two Seaters,,,,,,29.2,42.2,33.8993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1950,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,8/15/2020,27983,,Y,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift only at inlet valves,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W20,Y,Yes,,,,,,,,34.1,,,5,5,,MBMXJ03.0B5X,5,,,,,,,,,,,,,,,,2250,401,299,355,,,,,,,
2021,31.8497,46.4901,37.1084,1750,1,Two Seaters,,,,,,31.8497,46.4901,37.1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1750,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,8/21/2020,27860,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift only at inlet valves,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W20,Y,Yes,,,,,,,,37.4,,,6,6,,MBMXJ02.0B4X,7,,,,,,,,,,,,,,,,1250,358,275,321,,,,,,,
